"team_id","player_id","player_seq_nbr","team_nm","maint_dtm","maint_app","create_dtm","create_app"
T8,P15,2,Allyce Jones & Meghan Sheehan-Dizon,2022-07-10 22:40:50.595 -0400,postgres,2022-07-10 22:40:50.595 -0400,postgres
T9,P1,1,Jesse Irvine & Anna Bright,2022-07-10 22:40:50.595 -0400,postgres,2022-07-10 22:40:50.595 -0400,postgres
T9,P16,2,Jesse Irvine & Anna Bright,2022-07-10 22:40:50.596 -0400,postgres,2022-07-10 22:40:50.596 -0400,postgres
T10,P17,1,Greg Dow & Anderson Scarpa,2022-07-28 17:21:24.373 -0400,postgres,2022-07-28 17:21:24.373 -0400,postgres
T10,P18,2,Greg Dow & Anderson Scarpa,2022-07-28 17:21:24.377 -0400,postgres,2022-07-28 17:21:24.377 -0400,postgres
T11,P19,1,Chrissy Penfold & Eli Powell,2022-08-02 22:10:17.301 -0400,postgres,2022-08-02 22:10:17.301 -0400,postgres
T11,P20,2,Chrissy Penfold & Eli Powell,2022-08-02 22:10:17.304 -0400,postgres,2022-08-02 22:10:17.304 -0400,postgres
T12,P21,1,Monica Linn & Bill Kacergis,2022-08-02 22:10:17.304 -0400,postgres,2022-08-02 22:10:17.304 -0400,postgres
T12,P22,2,Monica Linn & Bill Kacergis,2022-08-02 22:10:17.306 -0400,postgres,2022-08-02 22:10:17.306 -0400,postgres
T13,P23,1,Collin Johns & Ben Johns,2022-08-07 23:10:56.810 -0400,postgres,2022-08-07 23:10:56.810 -0400,postgres
T13,P24,2,Collin Johns & Ben Johns,2022-08-07 23:10:56.815 -0400,postgres,2022-08-07 23:10:56.815 -0400,postgres
T14,P25,1,Callan Dawson & Spencer Smith,2022-08-07 23:10:56.815 -0400,postgres,2022-08-07 23:10:56.815 -0400,postgres
T14,P26,2,Callan Dawson & Spencer Smith,2022-08-07 23:10:56.817 -0400,postgres,2022-08-07 23:10:56.817 -0400,postgres
T15,P27,1,Vivienne David & Lauren Stratman,2022-08-14 20:54:02.947 -0400,postgres,2022-08-14 20:54:02.947 -0400,postgres
T15,P28,2,Vivienne David & Lauren Stratman,2022-08-14 20:54:02.954 -0400,postgres,2022-08-14 20:54:02.954 -0400,postgres
T16,P16,1,Anna Bright & Jorja Johnson,2022-08-14 20:54:02.954 -0400,postgres,2022-08-14 20:54:02.954 -0400,postgres
T16,P29,2,Anna Bright & Jorja Johnson,2022-08-14 20:54:02.956 -0400,postgres,2022-08-14 20:54:02.956 -0400,postgres
T17,P24,1,Ben Johns & Tyler Loong,2022-08-14 22:15:40.890 -0400,postgres,2022-08-14 22:15:40.890 -0400,postgres
T17,P6,2,Ben Johns & Tyler Loong,2022-08-14 22:15:40.896 -0400,postgres,2022-08-14 22:15:40.896 -0400,postgres
T18,P23,1,Collin Johns & AJ Koller,2022-08-14 22:15:40.896 -0400,postgres,2022-08-14 22:15:40.896 -0400,postgres
T18,P13,2,Collin Johns & AJ Koller,2022-08-14 22:15:40.899 -0400,postgres,2022-08-14 22:15:40.899 -0400,postgres
T19,P28,1,Lauren Stratman & Irina Tereschenko,2022-08-21 19:40:50.865 -0400,postgres,2022-08-21 19:40:50.865 -0400,postgres
T19,P30,2,Lauren Stratman & Irina Tereschenko,2022-08-21 19:41:00.095 -0400,postgres,2022-08-21 19:41:00.095 -0400,postgres
T20,P30,1,Irina Tereschenko & Catherine Parenteau,2022-08-29 18:54:29.989 -0400,postgres,2022-08-29 18:54:29.989 -0400,postgres
T20,P2,2,Irina Tereschenko & Catherine Parenteau,2022-08-29 18:54:29.997 -0400,postgres,2022-08-29 18:54:29.997 -0400,postgres
T21,P1,1,Jesse Irvine & Lucy Kovalova,2022-08-29 18:54:29.998 -0400,postgres,2022-08-29 18:54:29.998 -0400,postgres
T21,P31,2,Jesse Irvine & Lucy Kovalova,2022-08-29 18:54:29.999 -0400,postgres,2022-08-29 18:54:29.999 -0400,postgres
T22,P32,1,Jimbo Peterson & David McNally,2022-08-30 21:55:18.181 -0400,postgres,2022-08-30 21:55:18.181 -0400,postgres
