team_id,team_nm,GP,gameWpct,TO,TOperGame,TOboost_adj,TOboost,TOboost_srv,TOboost_ret,toscore,toscore_adj
T375,Tyler Loong & AJ Koller,1,0.0,0,0.0,0.0,0.0,0.0,0.0,28,29
T376,Jesse Irvine & Irina Tereschenko,1,100.0,0,0.0,0.0,0.0,0.0,0.0,28,29
T393,Rachel Summers & Genie Erokhina,3,0.0,0,0.0,0.0,0.0,0.0,0.0,28,29
T398,Vivienne David & Lacy Schneemann,4,75.0,0,0.0,0.0,0.0,0.0,0.0,28,29
T400,Catherine Parenteau & Andrea Koop,1,100.0,0,0.0,0.0,0.0,0.0,0.0,28,29
T482,Allyce Jones & Lauren Stratman,9,11.1,0,0.0,0.0,0.0,0.0,0.0,28,29
T483,Rachel Rohrabacher & Anna Bright,5,80.0,0,0.0,0.0,0.0,0.0,0.0,28,29
T550,Thomas Wilson & Christian Alshon,1,100.0,0,0.0,0.0,0.0,0.0,0.0,28,29
T551,Tyler Loong & Connor Garnett,2,100.0,0,0.0,0.0,0.0,0.0,0.0,28,29
T552,Callan Dawson & Hayden Patriquin,2,0.0,0,0.0,0.0,0.0,0.0,0.0,28,29
T557,Andrea Koop & Tina Pisnik,2,100.0,0,0.0,0.0,0.0,0.0,0.0,28,29
T569,Hurricane Tyra Black & Dylan Frazier,4,75.0,0,0.0,0.0,0.0,0.0,0.0,28,29
T591,Allyce Jones & Jack Sock,3,33.3,0,0.0,0.0,0.0,0.0,0.0,28,29
T592,Callie Smith & Anna Bright,3,66.7,0,0.0,0.0,0.0,0.0,0.0,28,29
T593,Allyce Jones & Hurricane Tyra Black,3,33.3,0,0.0,0.0,0.0,0.0,0.0,28,29
T603,Pablo Tellez & Etta Wright,2,50.0,0,0.0,0.0,0.0,0.0,0.0,28,29
T604,Meghan Sheehan-Dizon & Connor Garnett,1,0.0,0,0.0,0.0,0.0,0.0,0.0,28,29
T605,Tina Pisnik & Christian Alshon,2,100.0,0,0.0,0.0,0.0,0.0,0.0,28,29
T606,Brooke Buckner & Riley Newman,1,0.0,0,0.0,0.0,0.0,0.0,0.0,28,29
T607,Riley Newman & Connor Garnett,1,0.0,0,0.0,0.0,0.0,0.0,0.0,28,29
T608,Tina Pisnik & Etta Wright,2,50.0,0,0.0,0.0,0.0,0.0,0.0,28,29
T609,Brooke Buckner & Meghan Sheehan-Dizon,1,0.0,0,0.0,0.0,0.0,0.0,0.0,28,29
T610,Allyce Jones & Rachel Rohrabacher,2,0.0,0,0.0,0.0,0.0,0.0,0.0,28,29
T611,Meghan Dizon & Brooke Buckner,1,100.0,0,0.0,0.0,0.0,0.0,0.0,28,29
T612,Jorja Johnson & Hurricane Tyra Black,1,100.0,0,0.0,0.0,0.0,0.0,0.0,28,29
T613,Kate Fahey & Anna Bright,1,100.0,0,0.0,0.0,0.0,0.0,0.0,28,29
T614,Anna Bright & Hayden Patriquin,1,100.0,0,0.0,0.0,0.0,0.0,0.0,28,29
T615,Kate Fahey & Gabriel Tardio,1,0.0,0,0.0,0.0,0.0,0.0,0.0,28,29
T616,Gabriel Tardio & Hayden Patriquin,1,100.0,0,0.0,0.0,0.0,0.0,0.0,28,29
