team_id,team_nm,GP,gameWpct,TO,TOperGame,TOboost_adj,TOboost,TOboost_srv,TOboost_ret
T124,Santhosh Gopal & Poonam Mahajan,1,0.0,0,0.0,0.0,0.0,0.0,0.0
T125,Jo Marie & Dylan S,1,100.0,0,0.0,0.0,0.0,0.0,0.0
T128,Andy Lum & Danny Lum,1,0.0,0,0.0,0.0,0.0,0.0,0.0
T129,Warren Tamanaha & Zack Taylor,1,100.0,0,0.0,0.0,0.0,0.0,0.0
T130,Alexander Lewkowicz & Vlad Radulescu,1,0.0,0,0.0,0.0,0.0,0.0,0.0
T131,Dan Velez & Jonathan Tran,1,100.0,0,0.0,0.0,0.0,0.0,0.0
T135,Daniel Byun & Harrison Yee,1,100.0,0,0.0,0.0,0.0,0.0,0.0
T136,Ethan Nguyen & Nolan Smyth,1,0.0,0,0.0,0.0,0.0,0.0,0.0
T138,Maddie Saunders & Camila Garcia Wright,3,66.7,0,0.0,0.0,0.0,0.0,0.0
T139,Leanne Cantelon & Malia Lum,3,33.3,0,0.0,0.0,0.0,0.0,0.0
T140,James Moore & Kevin NoLastName,1,100.0,0,0.0,0.0,0.0,0.0,0.0
T141,Robert Primmer & Matt Michel,1,0.0,0,0.0,0.0,0.0,0.0,0.0
T143,James Pendleton & Jeff Pendleton,4,25.0,0,0.0,0.0,0.0,0.0,0.0
T144,Craig Lark & Taylor Lark,13,7.7,0,0.0,0.0,0.0,0.0,0.0
T147,Dylan Frazier & JW Johnson,14,64.3,0,0.0,0.0,0.0,0.0,0.0
T148,Vivienne David & Jorja Johnson,5,0.0,0,0.0,0.0,0.0,0.0,0.0
T149,Luke Rogers & Brian Dietrich,1,100.0,0,0.0,0.0,0.0,0.0,0.0
T150,James Larsen & Taylor Lark,17,76.5,0,0.0,0.0,0.0,0.0,0.0
T156,Scott Caldwell & Ravi Songa,1,0.0,0,0.0,0.0,0.0,0.0,0.0
T159,James Pendleton & Taylor Lark,110,48.2,0,0.0,0.0,0.0,0.0,0.0
T160,Raul Santamaria & Brian Nguyen,1,100.0,0,0.0,0.0,0.0,0.0,0.0
T162,Jhonnatan Medina Alvarez & Pierina Imparato,1,0.0,0,0.0,0.0,0.0,0.0,0.0
T163,Tyler Reburn & John Oney,1,0.0,0,0.0,0.0,0.0,0.0,0.0
T164,Cam Cassady & Kevin Steep,1,100.0,0,0.0,0.0,0.0,0.0,0.0
T167,Bradley McNerlin & Benjamin Jeffrey,1,0.0,0,0.0,0.0,0.0,0.0,0.0
T168,Asim Bashir & Brian Dietrich,1,0.0,0,0.0,0.0,0.0,0.0,0.0
T169,Brittney Lew & Zachary Lessner,4,25.0,0,0.0,0.0,0.0,0.0,0.0
T170,Mark Selig & Joe F,1,100.0,0,0.0,0.0,0.0,0.0,0.0
T171,Maureen AUS & Katie AUS,2,100.0,0,0.0,0.0,0.0,0.0,0.0
